,smiles,logGWP100,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol)
102,C(C(OC(F)(F)F)(F)F)(F)F,1.463892989,247.204783077,2.3930568695,0.5284778476,-0.4970093369,0.2442791611,-2.0279998779
103,C(CO)C(F)(F)F,-1,0.1180754443,-0.9278404117,-1.3702963591,-1.5315458775,0.0220018774,-1.4438734055
104,C(C(F)(F)F)(C(F)(F)F)OC(F)F,3.4184835904,2491.0698656724,3.3963859081,1.0521825552,-0.3169714808,-0.0686451644,-2.3373820782
105,C(C(F)(F)F)OC(C(F)(F)F)(F)F,2.9680624601,1130.1748719085,3.053145647,1.0924476385,-0.1667340547,0.3064274192,-3.2561690807
106,C(OC(C(F)(F)F)C(F)(F)F)F,2.3346547669,246.5382602332,2.3918843269,0.0015989505,-0.5418738127,0.0299805552,-2.4406359196
107,COC(C(C(F)(F)F)(F)F)(F)F,2.7243578042,467.3468813893,2.669639349,0.5658325553,-0.7475881577,0.0499925762,-2.6038379669
108,C(C(F)(F)F)OC(C(F)F)(F)F,2.9489506102,860.8230226898,2.9349138737,0.6260390282,-0.3831285238,0.2252907306,-2.2957735062
109,COC(C(F)(F)F)(C(F)(F)F)F,2.5600262489,456.3010325148,2.6592514515,0.4693414867,-0.7995144725,0.0872750431,-2.6000113487
110,COC(C(C(F)(F)F)F)(F)F,2.5878231713,161.3203096154,2.2076890469,0.1486482024,-0.4588865638,0.255720377,-2.0995931625
111,C(C(C(F)F)(F)F)OC(F)F,2.6494322232,503.9620377691,2.7023978233,0.4114592075,-0.416098088,-0.1171543449,-1.4324784279
112,COC(C(C(F)F)(F)F)(F)F,2.616055195,454.275990684,2.6573197842,0.5024346709,-0.437446326,0.2507880926,-2.2700147629
113,COC(C(F)(F)F)C(F)(F)F,1.1492191127,17.0848644299,1.232611537,-0.6040953398,-0.7313306332,0.0832332224,-2.6478898525
114,COCC(C(F)(F)F)(F)F,0.0413926852,1.190505086,0.0757312551,-1.0577236414,-1.1332041025,0.0092877289,-1.8318285942
115,CCOC(C(F)(F)F)(F)F,1.7641761324,53.3763416527,1.7273488045,-0.2447999716,-0.8007878661,0.005955114,-2.3203034401
116,CCOC(C(F)F)(F)F,2.7973368008,250.7829187614,2.3992979527,0.2766054869,-0.6336922646,0.2466760427,-1.5003817081
117,C(CC(F)(F)F)CO,-1,0.108421175,-0.9648858905,-1.4204101563,-1.82985425,-0.0169066042,-1.6892514229
118,COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,2.6243852414,468.5923586392,2.6707952023,0.6711074114,-0.7383756638,-0.010869191,-3.0328068733
119,CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.7566361082,37.5661489918,1.5747966766,-0.0983250141,-0.7878736854,0.034577325,-3.2739224434
120,C(OC(OC(F)F)(F)F)(F)F,3.7286053564,5832.3314830751,3.7658421993,1.4999268055,-0.1928119808,0.0825678855,-1.9313524961
121,C(OC(C(OC(F)F)(F)F)(F)F)(F)F,3.4636093364,3578.257567603,3.5536715984,1.3924164772,-0.0408231132,0.0442498475,-2.5394949913
122,C(C(F)(F)F)(C(F)(F)F)O,2.2603099458,208.2075461084,2.3184964657,0.1295813918,-0.5224223137,-0.1045165509,-1.2262740135
123,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,3.4553169938,3627.1382866829,3.5595641136,1.0989207029,0.1918689162,0.3145325184,-3.805069685
124,C(OC(C(OC(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,3.5897374262,2301.8296665582,3.3620731831,1.1328347921,0.200701192,0.2553817034,-3.2807807922
125,CCOC(C(C(F)(F)F)(F)F)(F)F,1.7860412102,45.1080155253,1.6542537212,-0.1513142586,-0.797796607,0.0546084195,-2.8084514141
126,C=COCC(F)(F)F,-1,0.1146009419,-0.9408118129,-1.4505264759,-1.4955860376,0.0459736735,-1.2339320183
127,C(OC(C(F)F)(F)F)F,2.9400680137,827.8339616037,2.9179432392,0.6716244221,-0.5956523418,0.1983647496,-1.5246912241
128,COCF,1.1172712957,14.9771392388,1.1754288673,-0.6557949781,-1.3448414803,-0.1024474353,0.1072912738
129,COC(F)F,2.1586639808,164.1232638588,2.215170145,0.0189763866,-0.9908034801,-0.0252734274,-0.2139101774
130,C(OCF)F,2.1142772966,151.405761779,2.1801424026,-0.1329898238,-0.7518664598,0.0419110209,-0.0412196331
131,C(OC(F)F)F,2.7903555464,740.3864072873,2.869458437,0.49061203,-0.4310717583,-0.1114116758,-0.3089389503
132,COC(C(OC(C(OC(C(OC)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2.3445887426,286.5061893531,2.4571340084,0.3858326077,-0.3060307801,0.0621445328,-3.8543903828
133,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-1,0.1337671423,-0.8736505508,-1.2686116695,-1.2434494495,0.0282069594,-2.9208371639
134,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1,0.102910191,-0.987541616,-1.2060787678,-1.2668924332,0.0310590416,-3.3257119656
135,C(CO)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1,0.0998999438,-1.0004347563,-1.1389935017,-1.2891850471,0.0357251316,-3.6443901062
136,COC(C(F)Cl)(F)F,2.0867156639,141.2037775702,2.1498463154,0.1183043718,-0.5794242024,0.2443127781,-1.5767126083
137,C(=C(F)F)(OC(F)(F)F)F,-1,0.1209563152,-0.9173714519,-0.7421240807,-0.7124026418,0.3192186356,-2.5697660446
138,C(=O)OC(F)(F)F,2.7694511794,449.3031792505,2.6525394917,0.4099767208,-0.6292784214,0.0106197139,-1.3845918179
139,C(=O)OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,2.5933968423,455.9256879029,2.658894062,0.3183870316,-0.5611951351,-0.1118488163,-2.7348115444
140,C(C(F)(F)F)OC=O,1.5198279938,37.6581680399,1.575859189,-0.8757834435,-1.2240225077,0.0549200922,-1.0862436295
141,CC(=O)OC(F)(F)F,0.3222192947,2.2252509699,0.347378999,-0.968351841,-1.0484342575,0.2559798956,-1.2099736929
142,CCOC(=O)C(F)(F)F,0.0413926852,1.421898411,0.1528685689,-1.5236736536,-1.1878545284,-0.0100874165,-1.4151195288
143,C(C(F)(F)F)OC(=O)C(F)(F)F,0.8512583487,7.2836464109,0.8623488545,-1.1029933691,-0.8984110355,0.3192900419,-2.3517351151
144,COC(=O)C(F)(F)F,1.7168377233,21.5524344139,1.3334963322,-2.0466821194,-1.1279029846,0.0405592471,-1.1411652565
145,COC(=O)C(F)F,0.4913616938,3.4569478817,0.538692832,-0.8858674765,-1.267241478,0.0416692644,-0.6421117187
146,C(C(C(C(F)(F)F)(F)F)(F)F)O,1.532754379,27.8711128187,1.4451543093,-0.4234947562,-0.9732797146,0.1028720886,-1.7866244316
147,C(C(F)F)(OC(F)(F)F)F,3.0945060665,1527.305329006,3.1839258671,1.1237893105,-0.4415129721,0.3131279945,-1.5235186815
148,CCOC(C(C(F)(F)F)F)(F)F,1.3636119799,68.1357587184,1.8333750963,-0.2163265944,-0.524923563,0.2974060178,-2.1559405327
149,C(C(C(F)F)(F)F)O,1.1172712957,16.4155973504,1.215256691,0.0409036241,-0.6198887825,0.2281262428,-0.8688880801
150,C(C(C(C(F)(F)F)F)(F)F)O,1.2329961104,17.4630759486,1.2421207428,-0.2605609894,-0.5795097351,0.2648438811,-1.3947198391
151,C(C(C(C(F)(F)F)(F)F)(F)F)O,1.206825876,27.8711128187,1.4451543093,-0.4234947562,-0.9732797146,0.1028720886,-1.7866244316
152,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,-1,0.1422719246,-0.8468807936,-1.2123503685,-1.0626459122,-0.1020805687,-3.7511262894
153,C(CF)O,0.0413926852,1.2034162794,0.0804158822,-0.6285381913,-1.27379179,-0.0081103304,-0.3147197366
154,C(C(F)F)O,0.4913616938,92.7819749321,1.9674636126,-0.1104618311,-1.0180494785,0.0197664648,0.6629652977
155,C(C(F)(F)F)O,1.3031960574,25.0518585314,1.3988399506,-0.3372316957,-0.9585184455,0.0981266052,-1.0314745903
156,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,3.6523527253,3627.1382866829,3.5595641136,1.0989207029,0.1918689162,0.3145325184,-3.805069685
