,smiles,GWP100,LT,RE,lip,sol,GWP
10567,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl,2.1753191948,0.7698198557,-0.593944788,0.0779695064,-5.0063247681,149.7335753385
11878,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1753275394,0.5716170669,-0.6889596581,0.3806508183,-4.7029352188,149.7364523871
8089,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1753540039,0.6569298506,-0.7122595906,0.376979351,-4.8244843483,149.7455771068
8755,C(C(C(C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1753621101,0.7589158416,-0.7170040607,0.3501528502,-4.6878790855,149.7483721773
10561,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl,2.1753799915,0.6470639706,-0.5798253417,0.0906449705,-4.9090123177,149.7545379583
5776,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl,2.1754062176,0.5863906741,-0.6761008501,0.3763309121,-4.6550722122,149.7635815631
9574,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(F)F)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1754715443,0.6339784265,-0.6736762524,0.3111349344,-4.8005137444,149.7861107349
3436,C(C(C(C(C(C(C(F)(F)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1756496429,0.6948523521,-0.6958634853,0.3215847611,-4.6845741272,149.8475487226
11806,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1756727695,0.6833844185,-0.7033672333,0.2866535783,-4.9637041092,149.8555284623
3814,C(C(C(C(C(C(C(F)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1758375168,0.5849598646,-0.7210656404,0.320892334,-4.6144070625,149.9123861217
3499,C(C(C(C(C(C(C(F)(F)Cl)(Cl)F)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1759147644,0.57722193,-0.672126472,0.3041849136,-4.5928530693,149.939053292
9988,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl,2.1759493351,0.5754259229,-0.6886478662,0.3160278201,-4.7556891441,149.9509892103
4903,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(Cl)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1761481762,0.7466720343,-0.6918750405,0.3761184216,-4.6429376602,150.0196597711
