,smiles,GWP,name
205,C(C(C(F)(F)F)(F)(F)F)(Cl)Br,,
206,C(C(C(F)(F)F)(F)(F)F)(Br)Br,,
207,C(C(C(F)(F)F)(F)(F)F)F,,
208,C(C(C(F)(F)F)(F)(F)F)Cl,,
209,C(C(C(F)(F)F)(F)(F)F)Br,,
210,C(C(C(F)(F)F)(F)F)(F)(F)F,,
211,C(C(C(F)(F)F)(F)F)(F)F,,
212,C(C(C(F)(F)F)(F)F)(F)Cl,,
213,C(C(C(F)(F)F)(F)F)(F)Br,,
214,C(C(C(F)(F)F)(F)F)(Cl)Cl,,
215,C(C(C(F)(F)F)(F)F)(Cl)Br,,
216,C(C(C(F)(F)F)(F)F)(Br)Br,,
217,C(C(C(F)(F)F)(F)F)F,,
218,C(C(C(F)(F)F)(F)F)Cl,,
219,C(C(C(F)(F)F)(F)F)Br,,
220,C(C(C(F)(F)F)(F)Cl)(F)(F)F,,
221,C(C(C(F)(F)F)(F)Cl)(F)F,,
222,C(C(C(F)(F)F)(F)Cl)(F)Cl,,
223,C(C(C(F)(F)F)(F)Cl)(F)Br,,
224,C(C(C(F)(F)F)(F)Cl)(Cl)Cl,,
225,C(C(C(F)(F)F)(F)Cl)(Cl)Br,,
226,C(C(C(F)(F)F)(F)Cl)(Br)Br,,
227,C(C(C(F)(F)F)(F)Cl)F,,
228,C(C(C(F)(F)F)(F)Cl)Cl,,
229,C(C(C(F)(F)F)(F)Cl)Br,,
230,C(C(C(F)(F)F)(F)Br)(F)(F)F,,
231,C(C(C(F)(F)F)(F)Br)(F)F,,
232,C(C(C(F)(F)F)(F)Br)(F)Cl,,
233,C(C(C(F)(F)F)(F)Br)(F)Br,,
234,C(C(C(F)(F)F)(F)Br)(Cl)Cl,,
235,C(C(C(F)(F)F)(F)Br)(Cl)Br,,
236,C(C(C(F)(F)F)(F)Br)(Br)Br,,
237,C(C(C(F)(F)F)(F)Br)F,,
238,C(C(C(F)(F)F)(F)Br)Cl,,
239,C(C(C(F)(F)F)(F)Br)Br,,
240,C(C(C(F)(F)F)(Cl)Cl)(F)(F)F,,
241,C(C(C(F)(F)F)(Cl)Cl)(F)F,,
242,C(C(C(F)(F)F)(Cl)Cl)(F)Cl,,
243,C(C(C(F)(F)F)(Cl)Cl)(F)Br,,
244,C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl,,
245,C(C(C(F)(F)F)(Cl)Cl)(Cl)Br,,
246,C(C(C(F)(F)F)(Cl)Cl)(Br)Br,,
247,C(C(C(F)(F)F)(Cl)Cl)F,,
248,C(C(C(F)(F)F)(Cl)Cl)Cl,,
249,C(C(C(F)(F)F)(Cl)Cl)Br,,
250,C(C(C(F)(F)F)(Cl)Br)(F)(F)F,,
251,C(C(C(F)(F)F)(Cl)Br)(F)F,,
252,C(C(C(F)(F)F)(Cl)Br)(F)Cl,,
253,C(C(C(F)(F)F)(Cl)Br)(F)Br,,
254,C(C(C(F)(F)F)(Cl)Br)(Cl)Cl,,
255,C(C(C(F)(F)F)(Cl)Br)(Cl)Br,,
256,C(C(C(F)(F)F)(Cl)Br)(Br)Br,,
257,C(C(C(F)(F)F)(Cl)Br)F,,
258,C(C(C(F)(F)F)(Cl)Br)Cl,,
259,C(C(C(F)(F)F)(Cl)Br)Br,,
260,C(C(C(F)(F)F)(Br)Br)(F)(F)F,,
261,C(C(C(F)(F)F)(Br)Br)(F)F,,
262,C(C(C(F)(F)F)(Br)Br)(F)Cl,,
263,C(C(C(F)(F)F)(Br)Br)(F)Br,,
264,C(C(C(F)(F)F)(Br)Br)(Cl)Cl,,
265,C(C(C(F)(F)F)(Br)Br)(Cl)Br,,
266,C(C(C(F)(F)F)(Br)Br)(Br)Br,,
267,C(C(C(F)(F)F)(Br)Br)F,,
268,C(C(C(F)(F)F)(Br)Br)Cl,,
269,C(C(C(F)(F)F)(Br)Br)Br,,
270,C(C(C(F)(F)F)F)(F)(F)F,,
271,C(C(C(F)(F)F)F)(F)F,,
272,C(C(C(F)(F)F)F)(F)Cl,,
273,C(C(C(F)(F)F)F)(F)Br,,
274,C(C(C(F)(F)F)F)(Cl)Cl,,
275,C(C(C(F)(F)F)F)(Cl)Br,,
276,C(C(C(F)(F)F)F)(Br)Br,,
277,C(C(C(F)(F)F)F)F,,
278,C(C(C(F)(F)F)F)Cl,,
279,C(C(C(F)(F)F)F)Br,,
280,C(C(C(F)(F)F)Cl)(F)(F)F,,
281,C(C(C(F)(F)F)Cl)(F)F,,
282,C(C(C(F)(F)F)Cl)(F)Cl,,
283,C(C(C(F)(F)F)Cl)(F)Br,,
284,C(C(C(F)(F)F)Cl)(Cl)Cl,,
285,C(C(C(F)(F)F)Cl)(Cl)Br,,
286,C(C(C(F)(F)F)Cl)(Br)Br,,
287,C(C(C(F)(F)F)Cl)F,,
288,C(C(C(F)(F)F)Cl)Cl,,
289,C(C(C(F)(F)F)Cl)Br,,
290,C(C(C(F)(F)F)Br)(F)(F)F,,
291,C(C(C(F)(F)F)Br)(F)F,,
292,C(C(C(F)(F)F)Br)(F)Cl,,
293,C(C(C(F)(F)F)Br)(F)Br,,
294,C(C(C(F)(F)F)Br)(Cl)Cl,,
295,C(C(C(F)(F)F)Br)(Cl)Br,,
296,C(C(C(F)(F)F)Br)(Br)Br,,
297,C(C(C(F)(F)F)Br)F,,
298,C(C(C(F)(F)F)Br)Cl,,
299,C(C(C(F)(F)F)Br)Br,,
300,C(C(C(F)(F)Cl)(F)(F)F)(F)(F)F,,
301,C(C(C(F)(F)Cl)(F)(F)F)(F)F,,
302,C(C(C(F)(F)Cl)(F)(F)F)(F)Cl,,
303,C(C(C(F)(F)Cl)(F)(F)F)(F)Br,,
304,C(C(C(F)(F)Cl)(F)(F)F)(Cl)Cl,,
305,C(C(C(F)(F)Cl)(F)(F)F)(Cl)Br,,
306,C(C(C(F)(F)Cl)(F)(F)F)(Br)Br,,
307,C(C(C(F)(F)Cl)(F)(F)F)F,,
308,C(C(C(F)(F)Cl)(F)(F)F)Cl,,
309,C(C(C(F)(F)Cl)(F)(F)F)Br,,
310,C(C(C(F)(F)Cl)(F)F)(F)(F)F,,
311,C(C(C(F)(F)Cl)(F)F)(F)F,,
312,C(C(C(F)(F)Cl)(F)F)(F)Cl,,
313,C(C(C(F)(F)Cl)(F)F)(F)Br,,
314,C(C(C(F)(F)Cl)(F)F)(Cl)Cl,,
315,C(C(C(F)(F)Cl)(F)F)(Cl)Br,,
316,C(C(C(F)(F)Cl)(F)F)(Br)Br,,
317,C(C(C(F)(F)Cl)(F)F)F,,
318,C(C(C(F)(F)Cl)(F)F)Cl,,
319,C(C(C(F)(F)Cl)(F)F)Br,,
320,C(C(C(F)(F)Cl)(F)Cl)(F)(F)F,,
321,C(C(C(F)(F)Cl)(F)Cl)(F)F,,
322,C(C(C(F)(F)Cl)(F)Cl)(F)Cl,,
323,C(C(C(F)(F)Cl)(F)Cl)(F)Br,,
324,C(C(C(F)(F)Cl)(F)Cl)(Cl)Cl,,
325,C(C(C(F)(F)Cl)(F)Cl)(Cl)Br,,
326,C(C(C(F)(F)Cl)(F)Cl)(Br)Br,,
327,C(C(C(F)(F)Cl)(F)Cl)F,,
328,C(C(C(F)(F)Cl)(F)Cl)Cl,,
329,C(C(C(F)(F)Cl)(F)Cl)Br,,
330,C(C(C(F)(F)Cl)(F)Br)(F)(F)F,,
331,C(C(C(F)(F)Cl)(F)Br)(F)F,,
332,C(C(C(F)(F)Cl)(F)Br)(F)Cl,,
333,C(C(C(F)(F)Cl)(F)Br)(F)Br,,
334,C(C(C(F)(F)Cl)(F)Br)(Cl)Cl,,
335,C(C(C(F)(F)Cl)(F)Br)(Cl)Br,,
336,C(C(C(F)(F)Cl)(F)Br)(Br)Br,,
337,C(C(C(F)(F)Cl)(F)Br)F,,
338,C(C(C(F)(F)Cl)(F)Br)Cl,,
339,C(C(C(F)(F)Cl)(F)Br)Br,,
340,C(C(C(F)(F)Cl)(Cl)Cl)(F)(F)F,,
341,C(C(C(F)(F)Cl)(Cl)Cl)(F)F,,
342,C(C(C(F)(F)Cl)(Cl)Cl)(F)Cl,,
343,C(C(C(F)(F)Cl)(Cl)Cl)(F)Br,,
344,C(C(C(F)(F)Cl)(Cl)Cl)(Cl)Cl,,
345,C(C(C(F)(F)Cl)(Cl)Cl)(Cl)Br,,
346,C(C(C(F)(F)Cl)(Cl)Cl)(Br)Br,,
347,C(C(C(F)(F)Cl)(Cl)Cl)F,,
348,C(C(C(F)(F)Cl)(Cl)Cl)Cl,,
349,C(C(C(F)(F)Cl)(Cl)Cl)Br,,
350,C(C(C(F)(F)Cl)(Cl)Br)(F)(F)F,,
351,C(C(C(F)(F)Cl)(Cl)Br)(F)F,,
352,C(C(C(F)(F)Cl)(Cl)Br)(F)Cl,,
353,C(C(C(F)(F)Cl)(Cl)Br)(F)Br,,
354,C(C(C(F)(F)Cl)(Cl)Br)(Cl)Cl,,
355,C(C(C(F)(F)Cl)(Cl)Br)(Cl)Br,,
356,C(C(C(F)(F)Cl)(Cl)Br)(Br)Br,,
357,C(C(C(F)(F)Cl)(Cl)Br)F,,
358,C(C(C(F)(F)Cl)(Cl)Br)Cl,,
359,C(C(C(F)(F)Cl)(Cl)Br)Br,,
360,C(C(C(F)(F)Cl)(Br)Br)(F)(F)F,,
361,C(C(C(F)(F)Cl)(Br)Br)(F)F,,
362,C(C(C(F)(F)Cl)(Br)Br)(F)Cl,,
363,C(C(C(F)(F)Cl)(Br)Br)(F)Br,,
364,C(C(C(F)(F)Cl)(Br)Br)(Cl)Cl,,
365,C(C(C(F)(F)Cl)(Br)Br)(Cl)Br,,
366,C(C(C(F)(F)Cl)(Br)Br)(Br)Br,,
367,C(C(C(F)(F)Cl)(Br)Br)F,,
368,C(C(C(F)(F)Cl)(Br)Br)Cl,,
369,C(C(C(F)(F)Cl)(Br)Br)Br,,
370,C(C(C(F)(F)Cl)F)(F)(F)F,,
371,C(C(C(F)(F)Cl)F)(F)F,,
372,C(C(C(F)(F)Cl)F)(F)Cl,,
373,C(C(C(F)(F)Cl)F)(F)Br,,
374,C(C(C(F)(F)Cl)F)(Cl)Cl,,
375,C(C(C(F)(F)Cl)F)(Cl)Br,,
376,C(C(C(F)(F)Cl)F)(Br)Br,,
377,C(C(C(F)(F)Cl)F)F,,
378,C(C(C(F)(F)Cl)F)Cl,,
379,C(C(C(F)(F)Cl)F)Br,,
380,C(C(C(F)(F)Cl)Cl)(F)(F)F,,
