,smiles,GWP,name
197,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F,,
198,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F,,
199,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl,,
200,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)F,,
201,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(F)F)(F)F,,
202,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl,,
203,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(F)F)(Cl)F,,
204,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F,,
205,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,,
206,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)F,,
207,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(F)F,,
208,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl,,
209,C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(Cl)F,,
210,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(F)F)(F)F,,
211,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(F)F)(Cl)Cl,,
212,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(F)F)(Cl)F,,
213,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)Cl)(F)F,,
214,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,,
215,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)Cl)(Cl)F,,
216,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)F)(F)F,,
217,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl,,
218,C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)F,,
219,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(F)F)(F)F,,
220,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(F)F)(Cl)Cl,,
221,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(F)F)(Cl)F,,
222,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl)(F)F,,
223,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,,
224,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)F,,
225,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)F)(F)F,,
